"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector","salary"
"Adjunct Physics Lab Instructor","Angola, IN","2025-02-22","Trine University","Thank you for your interest in Trine University.

By clicking the apply button you will be routed to our online application system where you will create your applicant account. By creating this account, you will have to ability to log back in at any time to modify your personal information.

Upon successful set up of your applicant account, you will be re-directed to this screen where you can start the formal application process by clicking on the apply button.

Thank you,

Trine Human Resource Department","Be among the first 25 applicants","Full-time","Entry level","Research, Analyst, and Information Technology","Higher Education",""
"Chemistry Teacher","Indianapolis, IN","2024-07-10","Indianapolis Public Schools","Summary Of Essential Job Functions

Teach Chemistry using a variety of instructional strategies that are highly engaging to high school students.

Qualifications

EDUCATION: Minimum Bachelor's degree, Master's degree preferred LICENSE: Valid Secondary Chemistry teaching license covering grades 7-12; out of state applicants must be able to secure an Indiana teaching license EXPERIENCE: Minimum three years of successful teaching in science at the middle or high school level; Educational background extending into problem based learning, inquiry guided units, cooperative and team teaching, positive disciplinary approaches, six plus one writing traits, and authentic assessment. Outstanding communication skills, both oral and written, including the ability to communicate with a diverse community.Familiar with current technology initiatives including online learning platforms, social media integration, one-to-one laptops, online textbooks

Essential Duties And Responsibilities


 * Perform teaching responsibilities including, but not limited to retaining attendance records, recording student behavior and achievement, facilitating lessons that are engaging, providing opportunities for reflection and growth.
 * Demonstrate respect for students and making their success a top priority within a supportive, caring and stimulating learning environment.
 * An open, transparent, and communicative style that will enable him or her to relate well to an unusually wide spectrum of constituencies.
 * Familiar with current technology initiatives including online learning platforms, social media integration, one-to-one laptops, online textbooks.
 * Assigns high importance to teamwork, communication and the building of relationships with all members of the school community.
 * Implement and apply educational technology software and hardware including virtual libraries and student resources, online grading and reporting systems, asynchronous learning platforms, laptops and production focused software.
 * Deliver content that meets state standards and subject guidelines utilizing best practices; serve as a language teacher regardless of content area; integrate technology as appropriate; use student achievement data to inform instruction.
 * Serve as an advisory leader teaching social, academic and behavioral norms for students.
 * Offer co-curricular activities or clubs that add value and depth to the current academic program.
 * Provide authentic assessments that are aligned with IPS practices and principles.
 * Participate in and lead professional development opportunities, professional learning communities, grade level meetings, subject level meetings, and school wide committees.
 * Communicate with all shareholders (students, parents, teachers, administrators, district personnel) regarding student achievement, course syllabus and scope and sequence (pacing), policies, classroom activities and opportunities, and current progress of the programs via meetings, letters, blogging and submission of articles to school newsletters and additional publications.
 * Facilitate presentations, productions, competitions, events and/or activities as appropriate that showcase student learning and achievement (specific expectations to be detailed during the interview process).
 * Perform other duties as assigned.
   
   

SUPERVISORY RESPONSIBILITIES: None.

LANGUAGE SKILLS: Ability to read and comprehend simple instructions, short correspondence, and memos. Ability to effectively present information in one-on-one, small group, and large group situations.

MATHEMATICAL SKILLS: Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals. Ability to compute rate, ratio, and percent and to draw and interpret bar graphs.

REASONING ABILITY: Ability to apply common sense understanding to carry out detailed but written or oral instructions. Ability to deal with problems involving a few concrete variables in standardized situations.

CERTIFICATES, LICENSES, REGISTRATIONS: None.

PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to sit and use hands to find, handle, or feel. The employee frequently is required to talk or hear. The employee is required to stand; walk; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 20 pounds and occasionally lift and/or move up to 50 pounds. Specific vision abilities required by this job include close vision, depth perception, and ability to adjust focus.

WORK ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is occasionally exposed to wet and humid conditions and outside weather conditions. The noise level in the work environment is usually moderate.

Disclaimer

The above job description is designed to denote the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications of employees assigned to this job.","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Education Management",""
"Math Teacher (eligibility pool for 2025-26 school year)","Chula Vista, CA","2025-05-10","Sweetwater Union High School District","Imagine a school district that wins the San Diego County Academic Decathlon eight years in a row, that guarantees a college education to entire grade levels of children and where students excel in the arts as well as the classroom. At the Sweetwater Union High School District, our students and staff members have accomplished those feats and many more. Founded in 1920, the Sweetwater District has grown to approximately 34,000 students in grades 7 through 12 and more than 10,000 adult learners. The district's 32 campuses are located in the cities of Chula Vista, Imperial Beach, National City and San Diego, including the communities of Bonita, Eastlake, Otay Mesa, San Ysidro and South San Diego. California's richness in cultural, linguistic and economic diversity is reflected in Sweetwater's student population, which includes Hispanic, Filipino, African-American, Asian and other ethnicities. Approximately half of Sweetwater's students speak a language other than English at home.

View all Job Descriptions using the ""Sweetwater Job Descriptions"" Link

Applicants must have an authorization to teach English Language Learners in order to be considered for the position.

All required documents, including a copy of your credential demonstrating eligibility for the pool, must be scanned, and attached to your Ed-Join application prior to applying to the eligibility pool. PDF format is recommended. Incomplete applications will not be considered.

Applicants must have an authorization to teach English Language Learners in order to be considered for the position.

All required documents, including a copy of your credential demonstrating eligibility for the pool, must be scanned, and attached to your Ed-Join application prior to applying to the eligibility pool. PDF format is recommended. Incomplete applications will not be considered.


 * Credential Copy
 * Letter(s) of Recommendation (3 letters required)
 * Other (Copy of Basic Skills Requirement)
 * Resume
   
   

Comments and Other Information

All original documents required for employment processing MUST be submitted upon recommendation for a position. Selected applicants may be called for an interview in the event positions become available in your area of interest. At the time of employment other documents will be required such as official transcripts. Applicants must register their credential with the San Diego County Office of Education. For applicants currently enrolled in a teacher preparation program must have proof of completion at the time of hire. The positions posted on Edjoin are only eligibility pools that are visited by administrators when searching to fill a vacant position. Please refer to our district website for vacancies posted periodically during the months of March 1st through July 1st and December. Certificated postings will be under the Internal Employees section. Although it does say internal employees, external candidates are also encouraged to apply. Please note that each vacancy has its own unique position number, therefore, you will be required to fill out an application (Form 8029-A) for each position you are interested in. Form 8029-A can be found in the link below the Certificated SEA Posting link. Link: http://hr.sweetwaterschools.org/employment/certificated-employment/ All external candidates applying to an internal vacancy are required to also apply to the corresponding Edjoin pool. Make sure to upload all required documents and any other document that you believe would be helpful when completing the application. Please note that direct emails with attachments will not be accepted.","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Education Administration Programs",""
"Physics Teacher at Westmont High School","Campbell, CA","2025-05-28","Campbell Union High School District","Compensation And Benefits


 * $80,432 - $131,581 annual starting salary (certificated salary schedule)
 * 183 day calendar
 * Master's and Doctoral supplements of $2,967.00*
 * Exceptional benefits packages to all employees serving at 50% time. Staff have the choice of many HMO/PPO medical plans including several that require no employee contribution for full family coverage. CUHSD contribution of up to $1,558.07 - $3,802.79 monthly ($17,138.77 - $41,830.69 annually) for full-time employees' medical, dental and vision. Contribution levels vary by full-time equivalent status.
 * We pay for the induction program fees for all teachers who need to clear their credential (not to include any credentialing fees).
 * We honor up to 13 years of verified certificated teaching experience outside the District toward salary placement.
 * One-time Bilingual (Spanish) signing incentive of up to $2,000 for new hires [determined via online testing] to be paid out after two months in the District.
 * One-time student loan repayment assistance incentive of up to $1,000.00 upon providing documentation of a positive student loan balance. This incentive is available for the first 20 eligible new hires.
   
   

We are an equal opportunity employer, are committed to racial equity and social justice, and we make a particular effort to recruit people who identify as Black, Indigenous, and people of color to apply for open positions.

As of January 1, 2025: In accordance with Education Code section 44939.5, you are required by law to provide a complete list of every school district, county office of education, charter school and/or state special school that you have previously been employed no matter the length of service. Please include any part-time and/or substitution work in addition to any full-time employment positions. Failure to disclose any school district, county office of education, charter school and/or state special school that you have previously been employed may be deemed dishonesty in the hiring process and/or dishonesty following termination. CUHSD will provide a section where certificated job seekers can enter this information.

We are unable to support individuals who require VISAs.

We are very excited that our Board of Trustees recently approved a 6-year Strategic Plan starting in the 2025-2026 school year. You can find it here.

Strategic Priority Area 1: Diverse Pathways - Ensure All Students Have a Path to Prepare for Their Future Through an Intentional Variety of Course Offerings, Targeted College and Career Planning, Monitoring and Intervention Supports

Strategic Priority Area 2: Mastery - Foster Data-Driven Instructional Approaches that Support Students to Engage with Grade-Level (or Advanced) Learning Experiences and Content

Strategic Priority Area 3: Supportive Learning Environments - Build and Sustain the Social and Emotional Climate and Physical Environment Our Students Need to Learn, Grow and Thrive

Our Schools: There are over 8,600 students enrolled in the Campbell Union High School District. The district is composed of five comprehensive high schools, a Continuation High School, a Post Secondary Program, and an Adult Education Program (CACE). For more on our schools, look here.

Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions of the position.

It is the policy of Campbell Union High School District (CUHSD) to provide equal opportunity for all individuals in education and employment. District programs and activities shall be free from discrimination, harassment, intimidation and bullying based on actual or perceived characteristics of race or ethnicity, color, ancestry, nationality, national origin, ethnic group identification, age, religion, marital or parental status, physical or mental disability, sex, sexual orientation, gender, gender identity, gender expression, or genetic information, or any other characteristic identified in Education Code 200 or 220, Penal Code 422.55, or Government Code 11135, or based on association with a person or group with one or more of these actual or perceived characteristics (Board Policy 5145.3 and 4030 through 4032).","Be among the first 25 applicants","Part-time","Entry level","Education and Training","Primary and Secondary Education",""
"Adjunct Instructor - Physics","Chicago, IL","2024-09-07","City Colleges of Chicago","ADJUNCT FACULTY - PHYSICS (PART-TIME)

TRUMAN COLLEGE

Truman College is currently seeking a part-time faculty to teach Physics. If you have passion for teaching and learning and are committed to the mission of the community college, consider joining our team. The ideal candidate will have demonstrated success in the classroom by developing and using effective teaching strategies that meet students’ diverse needs and engage students in critical thinking and problem-solving.

General Responsibilities


 * Design courses to meet learning outcomes and promote students’ active participation in their own learning.
 * Create an effective learning environment that fosters students’ intellectual curiosity and helps students to problem solve using discipline-specific thinking strategies.
 * Employ a variety of formative and summative assessments to ensure that classroom instruction leads to student learning and the attainment of the student learning outcomes for the course.
 * Help students reach their academic, personal and career goals
 * Foster a safe environment that respects the diversity of people and ideas by modeling respect for all students and conveying confidence in every student’s ability to learn.
 * Contribute to and provide leadership in the student’s academic and professional communities, and promote collaboration and teamwork among members of these communities.
   
   

Qualifications


 * Master's Degree in Physics or in Engineering Physics.
 * One year teaching and/or training experience.
 * Knowledge of the Brightspace Learning Management system preferred.
 * Experience with a diverse, multi-lingual student population is desired, as is a commitment to the open access mission of the community college.
 * Excellent interpersonal skills and ability to communicate with diverse group of staff and students.
   
   

How To Apply

All interested candidates, including current CCC employees, must submit the following documents for review:


 * A letter of interest
 * Resume or curriculum vitae
   
   

We are an equal opportunity and affirmative action employer.

Thank you for your interest in CCC!

Additional Information","Be among the first 25 applicants","Part-time","Entry level","Education and Training","Education Management",""
"Science Teacher, 1.0 FTE","Mountlake Terrace, WA","2025-06-12","Edmonds School District","About The District

Edmonds School District is committed to workplace diversity and aims to attract and retain employees with the right skills, knowledge, and life experiences to meet the needs of each vacancy. We encourage individuals of different cultures, backgrounds, and perspectives to apply and seek those who actively embrace our equity-focused direction for the future.

Our certificated staff are committed to engaging and supporting all students in learning. This is exemplified daily by their efforts to create learning environments that promote student autonomy, interaction, competence and choice. They are aware of the diverse needs of Edmonds students and use all possible resources to meet this diversity including making reasonable accommodations for individual cognitive, physical, emotional and social needs. Edmonds staff believe that every student has the capacity to learn. They support this belief by promoting high standards of learning for all and communicating these standards to all their students.

About The Position

This is a 1.0 FTE continuing contract position for a Science Teacher at Mountlake Terrace High School that begins with the 2025-26 school year.

Preference will be given to candidates that currently have an ELL, ESOL, or Bilingual endorsement. SIOP training and GLAD training offered by the Multilingual Education Department will be required for all new employees unless they can show evidence of having completed SIOP and GLAD training previously. Training will need to be completed within the first year of employment.

Required Qualifications

Washington State Teaching Certificate with an endorsement in Science, or the ability to obtain one prior to the position start date.

A Complete Application Includes

Cover Letter, Resume, 2 Confidential Reference Surveys* (forms will be automatically emailed to your references), 2 Letters of Recommendation, and Transcripts.


 * To move forward in the selection process your confidential reference forms must be completed by 11:00 p.m. on the closing date.
   
   

Salary

2024-25 Salary Schedule Range: $80,136 through $143,159 (2025-26 Salary Schedule not yet finalized). Placement on this salary schedule is determined by FTE and official documentation verifying Educational Level and Certificated Work Experience and will be prorated for less than a full year and/or FTE.

Benefits

Our benefits package includes Washington state health insurance coverage (SEBB) and a Washington state retirement package for eligible positions.


 * Eligibility for health insurance is based on whether the employee is anticipated to be compensated at least 630 hours per school year (September 1 through August 31). For the 2024-25 school year a .5 FTE continuing contract position will meet that eligibility threshold. Eligibility for a non-continuing contract position will be determined at the time of hire by counting the total anticipated compensated hours from the date of hire through the end of the non-continuing contract. Benefits include Medical, Dental, Vision, Long-term Disability, Life and AD+D Insurance and options for HSA, FSA and DCAP.
 * Eligibility for retirement is based on whether the employee is anticipated to work at least 70 hours per month for 5 months during the school year. For the 2024-25 school year a .6 FTE (either continuing or non-continuing) meets that eligibility threshold.
 * Most employees have a wide variety of supplemental benefits to take advantage of:
    * Life Insurance
    * Paid Sick Leave
    * Paid Personal Leave
    * Employee Assistance Program
    * Deferred Compensation Plan
    * 403(b) Plans
      

Physical Requirements/Demands

The physical demands described here outline tasks required to perform the essential functions of this job. The district is committed to providing reasonable accommodations to support individuals with disabilities in meeting these requirements.

While fulfilling the responsibilities of this job, the employee is expected to navigate various school and classroom environments. The role may involve assisting students who need physical support or exhibit challenging behaviors. The role requires communicating with others regularly. Tasks may include frequent manual work using hands or fingers, as well as occasional reaching, bending, or twisting. The position may require moving objects regularly weighing up to 10 pounds and occasionally up to 25 pounds. Visual requirements include performing close-range tasks and adjusting focus as necessary.

How To Apply

Complete all steps and submit an Employment Application through Edmonds School District on Applitrack.com. Please make sure to select the desired job vacancy in Step 4 of the application process. Due to the number of applications we receive, only candidates who are selected for further consideration will be contacted.

Edmonds School District Does Not Discriminate In Any Program Or Activities On The Basis Of Sex, Race, Creed Religion, Color, National Origin, Age Veteran Or Military Status, Sexual Orientation, Gender Expression Or Identity, Disability Or The Use Of a Trained Dog Guide Or Service Animal And Provides Equal Access To The Boy Scouts And Other Designated Youth Groups. The Following Employees Have Been Designated To Handle Questions And Complaints Of Alleged Discrimination


 * Title IX Coordinator: Rob Baumgartner, Assistant Superintendent, HR-Payroll-Benefits, 20420 68th Avenue W., Lynnwood, WA 98036, 425-431-7023, baumgartnerr@edmonds.wednet.edu
 * Section 504 Coordinator: Jonathan Bell, Executive Director of Student Services, 20420 68th Avenue W., Lynnwood, WA 98036, 425-431- 7047, bellj802@edmonds.wednet.edu
 * Civil Rights Compliance and ADA Coordinator: Rob Baumgartner, Assistant Superintendent, HR-Payroll-Benefits, 20420 68th Avenue W., Lynnwood, WA 98036, 425-431-7023, baumgartnerr@edmonds.wednet.edu","Be among the first 25 applicants","Full-time","Mid-Senior level","Education and Training","Education Administration Programs","$80,136.00/yr - $143,159.00/yr"
"2025-26 RI High School Physics Teacher","Rhode Island, United States","2025-06-17","Achievement First","School Year: 2025-26

Teaching At Achievement First

Achievement First invites you to apply for a teaching role! This is an exciting opportunity for teachers dedicated to delivering exceptional instruction while continually growing in their craft. At AF, you'll be part of a vibrant, supportive community where professional development, collaborative planning, and personalized coaching from school leaders are a part of your weekly experience.

In this role, you won't just be preparing students for college and career—you'll be inspiring them to lead lives of purpose, leadership, and impact. You'll create a learning culture in which scholars can discover their fullest potential and become agents of change, making a difference within their communities and beyond.

At AF, we believe in nurturing the whole child, setting high academic standards, and fostering a classroom environment where students thrive both intellectually and emotionally—and can be their authentic selves. Together, we are building a more just and equitable world, one classroom at a time.

Join us, and be part of a team that is transforming lives through the power of education.

Responsibilities of an Achievement First Teacher will include but are not limited to:

Outstanding academic achievement and personal development


 * Create a positive, achievement-oriented and structured learning environment that excites and invests students to reach ambitious goals.
 * Build classroom community by partnering with families to facilitate children’s academic success and personal development.
 * Utilize data from Achievement First’s interim assessments to drive instruction and intervention.
 * Implement unit and lesson plans with the grade or subject team.
 * Exemplify AF’s core values in all interactions with students, families, and colleagues.
   
   

Professional learning, development and growth


 * Collaborate with coach, grade-level chair and school team to improve instructional, culture-building and leadership skills.
 * Attend all professional development, team planning and data analysis meetings.
   
   

Skills And Characteristics


 * Strong instructional and classroom management skills.
 * High level of personal organization and planning.
 * Embraces feedback as an opportunity for growth, openly listening and reflecting on input from others.
   
   

Educational Background And Work Experience


 * Two years of teaching experience preferred with a proven record of high student achievement.
 * Bachelor’s degree with a GPA of at least 3.0; Master’s degree preferred.
    * If your GPA is between 2.75 and 3.0, you may submit additional recommendations to be considered.

 * Rhode Island certified or in process of obtaining a certification.
    * RI: https://ride.ri.gov/teachers-administrators/educator-certification
       * Certification for role:
          * Certification for role: Secondary Grades Physics Teacher
            

Compensation & Benefits


 * 
    * Employees at Achievement First are provided with a competitive salary. Our salaries are set through a lens of equity, and based on an individual’s skills, education, and years of experience relevant to the role. Teachers' salaries range from $50,500-$94,366, based on lead teaching experience.
    * As a regular full time employee of Achievement First, you will be eligible for benefits that include medical, dental, vision, and life insurance as well as a 403(b) retirement benefit package with match and paid Family Leave.
      

Achievement First is an equal opportunity employer and an organization that values diversity. People from all diverse backgrounds are strongly encouraged to apply. Spanish language proficiency is a plus. You can learn more about diversity at Achievement First here: http://achievementfirst.org/about-us/diversity/","Be among the first 25 applicants","Full-time","Entry level","Education","Education Administration Programs",""
"Upper School Physics Instructor","Stamford, CT","2025-04-26","King School","King School is a PreK-12 independent, college preparatory day school located in Stamford that serves the diverse families of Fairfield and Westchester counties. King School seeks more than achievement for our students. We open minds and spark courageous thinking. Our students discover and forge their unique paths to excellence.

Diversity is foundational to academic and professional excellence, and therefore is a core value at King. We think, learn, and work more deeply due to the many facets of diversity in our community, including but not limited to gender, race, ethnicity, religion, socio-economic status, sexual orientation, age, ability, and learning style. We leverage cultural differences and intellectual diversity to create an inclusive and vibrant learning community, endeavoring for each person to feel seen, heard, valued, and respected

Position Overview

King School is looking for a full-time Upper School Physics Instructor to teach our general and advanced (AP Physics 1 and 2) physics courses.This candidate should be proficient in the language and practices of the Next Generation Science Standards, apply inquiry-based learning pedagogy, and create an inclusive learning environment.

Essential Duties And Responsibilities

START DATE: August 19, 2025


 * Creates a classroom experience that presents a warm, well-structured, and organized learning environment that encourages and supports intellectual risk-taking and growth, with consistent routines and expectations for the students and for one’s self.
 * Creates curricula that improve scientific skills, techniques and practices through multiple modalities of teaching and learning.
 * Establishes an inclusive learning environment where each student knows they are seen, heard, valued, and respected.
 * Develops NGSS-inspired lesson plans.
 * Adds value to the department by collaborating with others and contributing to the progression of our inquiry-based, research-focused, student-centered curriculum.
 * Designs and executes curricula that address problem-solving for real-world issues that develops students’ sense of stewardship, agency and personal investment.
 * Mentor and guide students with their own open-inquiry science fair project.
 * Collaborate with the inter- and cross-divisional members of the Science Department to teach our inquiry-based, student-centered curriculum following backward design.
 * Contribute to a department-wide collaborative plan for materials management.
 * Maintain All support and communication of an active teacher.
   
   

Requirements


 * Bachelor’s degree in Physics or any related field; Masters degree preferred.
 * Minimum of 1-3 years high school teaching experience preferred.
 * A sound understanding of the intellectual and social-emotional developmental stages of adolescence.
 * Experience developing and implementing units of study aimed at skill development and content delivery in the science classroom.
 * Ability and willingness to facilitate student-centered best practices.
 * An understanding of and expertise in facilitating hands-on, experiential labs, research, science-based writing instruction, and fostering student inquiry.
 * Ability and capacity to nurture student discovery, autonomy of thought and skill development.
 * Ability to be organized and manage a series of student information platforms and systems, including Google Classroom.
 * Demonstrated capacity in culturally responsive professional practices, excellent communication skills, and ability to constructively collaborate with colleagues.
 * Demonstrated capacity to thrive in our diverse community, including but not limited to diversity in race, ethnicity, gender identity, socio-economic status, ability/disability, belief, sexual orientation, and national origin according to our Diversity, Equity, Inclusion principles.
 * Demonstrated alignment with King’s Mission and Virtues.
   
   

Classification: Full-Time Exempt

King School has engaged DovetailED to lead this search. Interested candidates should email a cover letter (addressed to Associate Head of School for Strategic Programs, Head of Upper School, Marnie Sadlowsky), a resume, and a list of at least three professional references consolidated as a single PDF document to Victoria Jones, Recruiter, at victoria@dovetailedsourcing.com. Please do not contact the school directly.

King goes beyond just stating that we are an Equal Opportunity Employer. Our goal is to intentionally hire a diverse pool of world-class staff and faculty to enrich the educational experience of students. King seeks candidates committed to teaching and working in a multicultural environment where varied identities are valued and respected.","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Primary and Secondary Education",""
"Physics Teacher (2025-2026 School Year)","New York, NY","2025-03-29","Broome Street Academy Charter High School","Position: Teacher

Supervisor: Associate Head of School

Location: Broome Street Academy Charter High School, SoHo, New York City

Overview

At Broome Street Academy Charter High School (BSA), we are not just a school – we are a community committed to academic excellence, student-centered learning, and social justice. Located in the heart of SoHo, BSA is a tuition-free public charter school that serves students from all five boroughs of New York City, providing them with the skills and support necessary to graduate prepared for a successful future. Our holistic approach ensures that every student receives rigorous academic instruction, alongside the emotional and social support they need to thrive.

We are looking for highly motivated, passionate, and dynamic educators who are ready to make a tangible impact on the lives of our students. As part of our school community, you will not only have the opportunity to teach but to also be an advocate for social change and educational equity. At BSA, we value academic rigor, trauma-informed practices, and student voice, and we invite teachers who are committed to pushing boundaries, challenging the status quo, and making a lasting difference in the lives of our students.

Why Join Us?


 * Academic Excellence Meets Holistic Support: We’re committed to providing our students with a well-rounded high school experience, offering Advanced Placement courses, athletics, and extracurricular programs in a small, close-knit environment.
 * A Culture of Equity & Justice: Our commitment to fostering an anti-racist, inclusive, and equitable learning environment is at the heart of everything we do. We seek educators who will work to uplift students from diverse backgrounds and help them realize their full potential.
 * Collaborative, Supportive Environment: At BSA, you’ll be part of a passionate, team-oriented community where your voice is heard and your contributions matter. We collaborate across disciplines to ensure every student gets the support they need to succeed.
 * Student Success as the North Star: We focus on individual student achievement, understanding that success looks different for every learner. Your role will be pivotal in guiding them toward their goals, both academically and socio-emotionally.
 * Professional Growth: We encourage continuous professional development and provide the resources and support to help you grow as an educator and a leader.
   
   

Key Responsibilities


 * Deliver High-Quality Instruction: Teach five classes (or equivalent responsibilities) and design dynamic, engaging lessons aligned with NY State and Common Core Standards. Differentiate instruction to meet the needs of all learners, including those with ELL and IEP designations.
 * Support Student Development: Serve as an advisor for a group of 10-15 students, building strong relationships and supporting their social-emotional growth.
 * Assessment & Growth: Prepare students for required assessments (Regents, NWEA, PSAT, SAT, AP, etc.) while tracking progress toward individual and collective goals. Ensure all students meet or exceed expectations set in the SUNY Accountability Plan.
 * Collaborative Culture: Regularly collaborate with fellow teachers, social workers, and student life teams to ensure a well-rounded support system for each student.
 * Engagement & Communication: Maintain open, consistent, and effective communication with students, families, and colleagues. Actively participate in professional development opportunities and stay engaged in your own learning as an educator.
 * Create a Welcoming Environment: Foster a classroom atmosphere that is safe, inclusive, and conducive to student success. Implement effective classroom management strategies and maintain a clean, organized space.
 * Administrative Duties: Record attendance in real-time for every class assigned and update gradebooks weekly. Attend all scheduled prep time and meetings with co-teachers and department teams.
   
   

What We’re Looking For


 * Academic Credentials: A minimum of a Bachelor’s degree in a relevant subject area. A Master’s degree in Education or a related field is preferred.
 * Teaching Expertise: Demonstrated expertise in your subject area, with significant coursework or teaching certification to support your knowledge.
 * NYSED Certification: New York State Education Department (NYSED) teacher certification is preferred. Candidates without certification will still be considered if they demonstrate strong potential for growth.
 * Passion for Growth: A demonstrated ability or willingness to grow in the areas of lesson planning, classroom management, and assessment. We value continuous improvement.
 * Experience with Diverse Learners: Experience or willingness to learn about working with diverse learners, including those with special education needs, English Language Learners (ELL), or trauma-informed practices.
 * Collaborative Team Player: Strong communication skills and a genuine passion for working with others in a team-oriented, student-focused environment.
 * Positive, Energetic Presence: A personable, outgoing demeanor and a good sense of humor – because we know that creating a positive classroom environment is as important as academic rigor.
   
   

Why BSA?

Broome Street Academy offers an exciting opportunity to be part of a community where your work directly impacts the lives of New York City's young people. Our unique partnership with The Door, a renowned non-profit, allows us to serve the whole student – academically, socially, and emotionally – ensuring every student has the tools they need to succeed in and out of the classroom.

If you are a teacher who is driven by purpose, committed to equity, and ready to inspire the next generation of leaders, we want to hear from you!","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Primary and Secondary Education",""
"High School Science Teacher - Physics","South River, NJ","2025-02-13","South River Board Of Education","SOUTH RIVER PUBLIC SCHOOLS

SOUTH RIVER, NJ 08882

2024 / 2025 School Year

Position: High School Science Teacher - Physics

Required

Physical Science NJDOE Teaching Certificate

Start Date: ASAP","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Primary and Secondary Education",""
"Math/Science Teacher- *$6,000 Hiring Bonus!*- 25/26 School Year","Oakland, CA","2025-04-11","Aspire Public Schools","Description

We are now accepting applications for the 2025-2026 School Year in Aspire's Bay Area Schools and offering an additional $6,000 bonus for all permanent Math/Science Teacher positions.


 * If you’re considering applying, we highly encourage you to upload any relevant documents you possess. This proactive step will significantly expedite the credentialing process. Our credentialing department will be able to swiftly verify your status and provide any necessary assistance throughout your credentialing journey.
   
   

Keep a look out for email communication from an Aspire representative and thank you for considering Aspire!


 * Non-Credentialed- transcripts, passing test scores, intern eligibility letters.
 * Credentialing Program- transcripts, passing test scores, appeasement letter.
 * Intern Credential- transcripts, passing test scores, intern program documentation.
 * Preliminary Credential- upload copy of your credential and/or include your credential number.
 * Clear Credential- upload a copy of your credential and/or include your credential number.
   
   

About Aspire:

Aspire Public Schools operates 40 high-performing, college-preparatory public charter schools serving 16,000 students in underserved communities across California and in Memphis, Tennessee. Founded in 1998, Aspire is one of the nation’s largest open-enrollment public charter school systems serving predominantly low-income students, and delivering a rigorous College for Certain education to students in grades K-12.

Our promise at Aspire Public Schools is that every child receives a high-quality education to prepare them for success in college, career and life. Every day, our community of students, parents, teachers and staff come together to learn and grow so that every child’s aspirations are within reach.

The Opportunity:

Behind every successful student is a team of passionate and dedicated educators. As an instructor at Aspire, you will deliver high-quality instruction within a small school environment where every student is known and valued as an individual. In addition, you will empower students to take control of their own learning and contribute to the continuous improvement of our nationally recognized model. Your professional learning community will provide a supportive and collaborative environment to fuel your growth and development. Together, we will change the odds for underserved students, ensuring that every student is prepared to earn a college degree.

What You Will Do:


 * Establish a culture of high expectations that includes the shared belief that every student will attend college
 * Develop and implement lesson plans and classroom activities aligned with California State Standards and Aspire Instructional Guidelines
 * Assess students regularly and refine and differentiate classroom instruction based on assessment data and student needs
 * Communicate regularly with students and families and involve families as partners in their child’s education
 * Identify unique student needs and collaborate with team members to effectively address those needs and improve instructional practices throughout the school
 * Actively participate in professional development activities, and work closely with lead teachers, principal, and instructional coaches
   
   

What You Will Bring:


 * Bachelor’s degree
 * Valid California Multiple Subject Credential or Single Subject Credentials in Math AND Science
 * 1+ year working with students as a teacher, teacher intern, or teaching assistant preferred
 * Knowledge of subject matter, including State Standards and subject-specific frameworks
 * Knowledge of child cognitive development and various learning styles
 * Ability to analyze qualitative and quantitative student data
 * Ability and willingness to reflect and improve instructional practices
   
   

Compensation:

Aspire Public Schools is dedicated to our teammate's well-being! In addition to a competitive base salary that is benchmarked against local districts and charter schools, we offer employees exceptional benefits, including paid time off, 100% core health benefits coverage on select plans, life insurance/long-term disability, participation in a CA state retirement plan, tuition reimbursement plan, and adoption assistance program.

Our salary schedule based on years of experience for this position type is $70,013- $125,368.

Aspire Public Schools is an equal opportunity employer and does not discriminate on the basis of race, color, gender, religion, age, sexual orientation, national or ethnic origin, disability, marital status, veteran status, or any other occupationally irrelevant criteria. Aspire promotes affirmative action for minorities, women, disabled persons, and veterans.

","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Primary and Secondary Education",""
